f1,precision,recall
0.8350597609561753,0.842443729903537,0.8278041074249605
0.8102692548528491,0.8369987063389392,0.7851941747572816
0.8782383419689119,0.887434554973822,0.8692307692307693
0.8788142981691369,0.9064748201438849,0.8527918781725888
0.827922077922078,0.804416403785489,0.8528428093645485
0.49295774647887325,0.4878048780487805,0.498220640569395
0.7913669064748201,0.7586206896551724,0.8270676691729323
0.6470588235294118,0.717391304347826,0.5892857142857143
0.903096903096903,0.905811623246493,0.900398406374502
0.8190854870775348,0.8174603174603174,0.8207171314741036
0.8142493638676844,0.7980049875311721,0.8311688311688312
0.8581818181818182,0.84688995215311,0.8697788697788698
0.8506616257088847,0.9183673469387755,0.7922535211267606
0.88016967126193,0.8848614072494669,0.8755274261603375
0.882051282051282,0.8896551724137931,0.8745762711864407
0.8528301886792453,0.8188405797101449,0.889763779527559
0.827426810477658,0.8403755868544601,0.8148710166919575
0.6843177189409368,0.7433628318584071,0.6339622641509434
0.8614668218859138,0.8333333333333334,0.891566265060241
0.8290155440414507,0.821917808219178,0.8362369337979094
0.758340113913751,0.6955223880597015,0.8336314847942755
0.64171974522293,0.6376582278481012,0.6458333333333334
0.8262910798122066,0.8243559718969555,0.8282352941176471
0.6949152542372882,0.640625,0.7592592592592593
0.8594122319301033,0.8725806451612903,0.8466353677621283
0.48118985126859143,0.4716981132075472,0.49107142857142855
0.717948717948718,0.6782945736434108,0.7625272331154684
0.6387195121951219,0.6170839469808542,0.6619273301737757
0.8233151183970856,0.8173598553345389,0.8293577981651377
0.8989966555183947,0.9281767955801105,0.8715953307392996
0.8100208768267223,0.7854251012145749,0.8362068965517241
0.7843551797040169,0.7479838709677419,0.8244444444444444
0.6690647482014388,0.6348122866894198,0.7072243346007605
0.8910081743869209,0.9159663865546218,0.8673740053050398
0.8221070811744386,0.875,0.7752442996742671
0.8780934922089826,0.9141221374045801,0.8447971781305115
0.8813559322033898,0.8863636363636364,0.8764044943820225
0.8336594911937377,0.8208092485549133,0.8469184890656064
0.8544395924308588,0.8619676945668135,0.847041847041847
0.848381601362862,0.8586206896551725,0.8383838383838383
0.8011204481792717,0.8187022900763359,0.7842778793418648
0.7656565656565657,0.7232824427480916,0.8133047210300429
0.8281573498964804,0.8658008658008658,0.7936507936507936
0.8496732026143791,0.8803611738148984,0.8210526315789474
0.8522012578616353,0.8713826366559485,0.8338461538461538
0.8688711516533637,0.8678815489749431,0.8698630136986302
0.6980609418282548,0.627906976744186,0.7858627858627859
0.5824,0.6232876712328768,0.5465465465465466
0.7687861271676301,0.8036253776435045,0.7368421052631579
