f1,precision,recall
0.6774193548387096,0.65625,0.7
0.7428571428571429,0.7878787878787878,0.7027027027027027
0.7857142857142857,0.8148148148148148,0.7586206896551724
0.7037037037037037,0.6551724137931034,0.76
0.6944444444444444,0.625,0.78125
0.7419354838709677,0.8214285714285714,0.6764705882352942
0.7045454545454546,0.7209302325581395,0.6888888888888889
0.5217391304347826,0.5217391304347826,0.5217391304347826
0.7906976744186046,0.8947368421052632,0.7083333333333334
0.6896551724137931,0.7407407407407407,0.6451612903225806
0.6181818181818182,0.6296296296296297,0.6071428571428571
0.7301587301587301,0.6764705882352942,0.7931034482758621
0.8,0.7567567567567568,0.8484848484848485
0.5,0.5,0.5
0.32727272727272727,0.32142857142857145,0.3333333333333333
0.6987951807228916,0.7435897435897436,0.6590909090909091
0.7323943661971831,0.7428571428571429,0.7222222222222222
0.5625,0.5625,0.5625
0.7142857142857143,0.7407407407407407,0.6896551724137931
0.6511627906976745,0.7368421052631579,0.5833333333333334
0.7457627118644068,0.88,0.6470588235294118
0.5666666666666667,0.6296296296296297,0.5151515151515151
0.7088607594936709,0.7368421052631579,0.6829268292682927
0.6197183098591549,0.6285714285714286,0.6111111111111112
0.65625,0.7777777777777778,0.5675675675675675
0.6666666666666666,0.7428571428571429,0.6046511627906976
0.5714285714285714,0.6666666666666666,0.5
0.7755102040816326,0.8636363636363636,0.7037037037037037
0.6551724137931034,0.6551724137931034,0.6551724137931034
0.5660377358490566,0.6521739130434783,0.5
0.6538461538461539,0.7083333333333334,0.6071428571428571
0.5866666666666667,0.5945945945945946,0.5789473684210527
0.684931506849315,0.8333333333333334,0.5813953488372093
0.7741935483870968,0.8888888888888888,0.6857142857142857
0.7457627118644068,0.7586206896551724,0.7333333333333333
0.68,0.7391304347826086,0.6296296296296297
0.8,0.8648648648648649,0.7441860465116279
0.5714285714285714,0.7142857142857143,0.47619047619047616
0.6875,0.6875,0.6875
0.7027027027027027,0.7428571428571429,0.6666666666666666
0.6153846153846154,0.75,0.5217391304347826
0.6551724137931034,0.6785714285714286,0.6333333333333333
0.6896551724137931,0.6896551724137931,0.6896551724137931
0.5652173913043478,0.6190476190476191,0.52
0.7228915662650602,0.7894736842105263,0.6666666666666666
0.6666666666666666,0.7,0.6363636363636364
0.825,0.8461538461538461,0.8048780487804879
0.7391304347826086,0.8095238095238095,0.68
0.48623853211009177,0.5698924731182796,0.424
0.15454545454545454,0.3655913978494624,0.09798270893371758
0.23039215686274508,0.3983050847457627,0.16206896551724137
0.4946236559139785,0.6764705882352942,0.3898305084745763
0.9090909090909091,0.8928571428571429,0.9259259259259259
0.5806451612903226,0.6857142857142857,0.5034965034965035
0.23057644110275688,0.42201834862385323,0.15862068965517243
0.1890547263681592,0.3917525773195876,0.12459016393442623
0.5185185185185185,0.4375,0.6363636363636364
0.5454545454545454,0.42857142857142855,0.75
0.7272727272727273,0.5714285714285714,1.0
0.2562814070351759,0.4636363636363636,0.17708333333333334
0.384,0.5714285714285714,0.2891566265060241
0.7,0.7777777777777778,0.6363636363636364
0.8125,0.7647058823529411,0.8666666666666667
0.5307443365695793,0.6612903225806451,0.44324324324324327
0.6956521739130435,0.8275862068965517,0.6
0.7222222222222222,0.9285714285714286,0.5909090909090909
0.6875,0.8979591836734694,0.5569620253164557
0.5714285714285714,0.7727272727272727,0.4533333333333333
0.7678571428571429,0.86,0.6935483870967742
0.6774193548387096,0.875,0.5526315789473685
0.7216494845360825,0.8536585365853658,0.625
0.5666666666666667,0.5666666666666667,0.5666666666666667
0.65,0.8387096774193549,0.5306122448979592
0.75,0.8780487804878049,0.6545454545454545
0.7747747747747747,0.8958333333333334,0.6825396825396826
0.7536231884057971,0.8387096774193549,0.6842105263157895
0.5714285714285714,0.8571428571428571,0.42857142857142855
0.7058823529411765,0.9473684210526315,0.5625
0.6711409395973155,0.8771929824561403,0.5434782608695652
0.575,0.7931034482758621,0.45098039215686275
0.6236559139784946,0.6744186046511628,0.58
0.6428571428571429,0.75,0.5625
0.7555555555555555,0.8717948717948718,0.6666666666666666
0.7079646017699115,0.7843137254901961,0.6451612903225806
0.803921568627451,0.8723404255319149,0.7454545454545455
0.7572815533980582,0.8478260869565217,0.6842105263157895
0.6464646464646465,0.6956521739130435,0.6037735849056604
0.7114093959731543,0.7910447761194029,0.6463414634146342
0.6407766990291263,0.7857142857142857,0.5409836065573771
0.7472527472527473,0.8717948717948718,0.6538461538461539
0.7216494845360825,0.8536585365853658,0.625
0.6585365853658537,0.7941176470588235,0.5625
0.6728971962616822,0.782608695652174,0.5901639344262295
0.8260869565217391,0.9047619047619048,0.76
0.7906976744186046,0.8947368421052632,0.7083333333333334
0.7526881720430108,0.813953488372093,0.7
